1977,1
1980,1
1981,3
1982,1
1983,3
1984,4
1985,4
1986,13
1987,15
1988,27
1989,37
1990,56
1991,70
1992,70
1993,75
1994,98
1995,103
1996,105
1997,97
1998,91
1999,105
2000,104
2001,58
2002,37
2003,24
2004,14
2005,4
